Date,Open,High,Low,Close,Adj Close,Volume
2015-06-18,911.849976,928.900024,902.000000,908.349976,863.903320,13687
2015-06-19,911.000000,931.000000,911.000000,918.400024,873.461609,14325
2015-06-22,918.450012,932.000000,918.400024,927.000000,881.640808,4837
2015-06-23,929.950012,957.000000,923.000000,934.250000,888.536011,16369
2015-06-24,934.099976,974.000000,918.700012,930.000000,884.493896,68283
2015-06-25,938.750000,944.799988,915.000000,921.849976,876.742798,10043
2015-06-26,933.000000,934.500000,915.000000,917.950012,873.033691,4165
2015-06-29,914.700012,914.700012,885.200012,898.250000,854.297607,9674
2015-06-30,900.250000,912.000000,888.750000,896.799988,852.918518,9613
2015-07-01,907.000000,925.000000,891.099976,901.450012,857.341003,23824
2015-07-02,918.000000,919.000000,901.200012,908.049988,863.618042,9455
2015-07-03,914.000000,915.000000,901.000000,903.250000,859.052917,4549
2015-07-06,897.950012,912.049988,890.000000,906.299988,861.953735,8247
2015-07-07,911.250000,935.000000,901.150024,912.549988,867.897827,16344
2015-07-08,909.950012,919.000000,896.000000,903.500000,859.290649,8225
2015-07-09,906.299988,924.000000,902.000000,907.799988,863.380310,8317
2015-07-10,907.049988,921.000000,907.000000,910.549988,865.995667,9046
2015-07-13,915.000000,928.000000,906.349976,914.349976,869.609741,23093
2015-07-14,919.750000,925.000000,910.000000,922.700012,877.551208,10378
2015-07-15,924.000000,965.000000,911.000000,930.049988,884.541565,67944
2015-07-16,934.950012,937.849976,916.349976,923.200012,883.727966,10851
2015-07-17,924.150024,948.000000,923.000000,934.549988,894.592529,18347
2015-07-20,935.000000,957.000000,935.000000,943.799988,903.447083,26938
2015-07-21,940.000000,948.000000,911.950012,916.549988,877.362244,8597
2015-07-22,912.200012,932.000000,912.000000,914.700012,875.591248,10766
2015-07-23,911.049988,929.900024,911.049988,921.549988,882.148499,4679
2015-07-24,922.000000,930.000000,903.099976,911.950012,872.958984,7439
2015-07-27,913.000000,924.000000,902.000000,905.349976,866.641052,4557
2015-07-28,916.700012,927.950012,902.250000,908.599976,869.752075,7810
2015-07-29,910.049988,929.000000,880.000000,892.950012,854.771240,54443
2015-07-30,904.900024,910.500000,885.000000,896.250000,857.930115,19001
2015-07-31,905.950012,908.000000,885.049988,888.549988,850.559387,15592
2015-08-03,882.000000,915.900024,882.000000,900.549988,862.046326,12678
2015-08-04,902.799988,914.000000,892.000000,901.450012,862.907837,9029
2015-08-05,911.450012,912.000000,898.000000,900.599976,862.094177,6894
2015-08-06,903.799988,929.000000,900.049988,907.900024,869.082092,21471
2015-08-07,910.000000,918.000000,900.000000,905.700012,866.976135,7219
2015-08-10,905.049988,912.099976,895.000000,901.049988,862.524963,5998
2015-08-11,901.049988,941.900024,885.000000,929.599976,889.854248,150085
2015-08-12,930.000000,938.599976,889.000000,891.750000,853.622437,23037
2015-08-13,904.950012,909.500000,873.299988,878.200012,840.651978,8953
2015-08-14,885.000000,912.000000,875.099976,905.349976,866.641052,12613
2015-08-17,900.049988,904.000000,883.750000,888.900024,850.894409,5708
2015-08-18,899.950012,903.450012,879.349976,897.150024,858.791687,9928
2015-08-19,907.549988,909.700012,887.700012,890.799988,852.713196,8140
2015-08-20,891.049988,911.000000,889.549988,899.250000,860.801880,8919
2015-08-21,893.000000,918.000000,875.049988,902.099976,863.530090,20454
2015-08-24,872.000000,883.000000,826.099976,839.450012,803.558655,48800
2015-08-25,820.200012,919.900024,820.000000,899.500000,861.041199,35621
2015-08-26,900.000000,912.000000,873.049988,905.750000,867.023926,13753
2015-08-27,910.000000,915.000000,892.549988,902.700012,864.104370,5735
2015-08-28,910.049988,910.049988,885.000000,887.849976,849.889282,4309
2015-08-31,886.000000,899.000000,866.099976,872.599976,835.291382,8764
2015-09-01,888.950012,888.950012,852.250000,860.299988,823.517151,7305
2015-09-02,859.700012,874.700012,850.000000,852.000000,815.572083,5301
2015-09-03,860.950012,869.299988,842.299988,849.799988,813.466125,7583
2015-09-04,850.099976,850.099976,822.000000,832.700012,797.097229,6800
2015-09-07,828.150024,838.500000,796.099976,802.950012,768.619324,12425
2015-09-08,800.150024,816.000000,790.000000,805.000000,770.581665,13518
2015-09-09,818.849976,818.900024,802.400024,806.000000,771.538818,7997
2015-09-10,808.700012,810.000000,786.000000,794.150024,760.195496,11135
2015-09-11,790.099976,807.000000,790.099976,798.599976,764.455200,8141
2015-09-14,795.349976,814.500000,790.049988,804.950012,770.533691,4404
2015-09-15,817.900024,817.900024,800.000000,804.299988,769.911560,3428
2015-09-16,800.000000,824.849976,791.000000,792.950012,759.046814,5633
2015-09-18,800.000000,810.900024,790.099976,795.299988,761.296448,10686
2015-09-21,803.000000,805.000000,786.000000,797.250000,763.162964,3188
2015-09-22,805.000000,817.900024,790.549988,795.349976,761.344177,6698
2015-09-23,795.000000,817.000000,791.150024,808.900024,774.314880,4110
2015-09-24,810.099976,815.000000,805.000000,806.599976,772.113220,2741
2015-09-28,806.000000,869.700012,799.000000,816.950012,782.020691,39484
2015-09-29,814.950012,831.000000,802.099976,807.299988,772.783264,7165
2015-09-30,814.849976,837.299988,809.750000,812.950012,778.191833,12662
2015-10-01,816.000000,833.000000,812.000000,813.200012,778.431030,8999
2015-10-05,821.049988,828.000000,818.000000,821.849976,786.711121,5695
2015-10-06,830.000000,834.650024,825.000000,829.799988,794.321350,5260
2015-10-07,834.349976,863.900024,826.200012,848.250000,811.982483,18981
2015-10-08,850.000000,859.650024,836.250000,840.049988,804.132996,5377
2015-10-09,845.950012,849.900024,825.099976,830.150024,794.656311,5520
2015-10-12,849.000000,849.000000,830.099976,837.549988,801.739868,4226
2015-10-13,836.000000,871.700012,833.200012,864.750000,827.777039,8955
2015-10-14,860.000000,872.000000,855.250000,860.650024,823.852234,4074
2015-10-15,855.000000,882.200012,855.000000,875.349976,837.923706,7568
2015-10-16,881.000000,885.700012,862.599976,880.000000,842.375000,12048
2015-10-19,873.099976,885.599976,872.099976,875.200012,837.780151,3714
2015-10-20,872.549988,898.200012,853.700012,887.950012,849.984924,14118
2015-10-21,887.849976,895.000000,871.900024,884.599976,846.778259,28467
2015-10-23,889.000000,898.000000,865.500000,873.700012,836.344299,9691
2015-10-26,877.000000,889.450012,866.000000,869.250000,832.084595,3389
2015-10-27,868.000000,875.150024,853.700012,864.500000,827.537659,1948
2015-10-28,860.000000,866.000000,854.900024,858.299988,821.602783,4182
2015-10-29,863.500000,887.000000,853.250000,868.349976,831.222961,8032
2015-10-30,881.950012,882.000000,850.150024,854.750000,818.204529,2155
2015-11-02,846.099976,863.900024,833.799988,841.799988,805.808289,4082
2015-11-03,855.000000,858.650024,832.150024,843.299988,807.244080,4787
2015-11-04,836.549988,858.000000,836.549988,850.700012,814.327698,3284
2015-11-05,843.049988,851.599976,827.000000,830.700012,795.182739,2452
2015-11-06,837.099976,845.000000,810.000000,819.049988,784.031006,3446
2015-11-09,815.950012,824.000000,802.599976,818.049988,783.073669,4065
2015-11-10,807.049988,826.500000,807.049988,818.849976,783.839417,5316
2015-11-13,818.049988,823.099976,808.500000,816.099976,781.206970,1872
2015-11-16,815.799988,823.000000,803.150024,813.099976,778.335205,1977
2015-11-17,813.000000,818.799988,808.000000,811.500000,776.803711,2613
2015-11-18,821.000000,844.000000,815.000000,818.400024,783.408691,10465
2015-11-19,821.349976,830.000000,815.000000,819.500000,784.461731,2985
2015-11-20,826.000000,830.000000,816.400024,818.750000,783.743652,3095
2015-11-23,828.700012,848.000000,808.000000,821.150024,786.041138,18467
