Date,Open,High,Low,Close,Adj Close,Volume
2015-04-17,879.000000,881.299988,852.000000,865.150024,843.110962,1468381
2015-04-20,905.000000,921.000000,881.349976,901.200012,878.242493,2994923
2015-04-21,904.400024,905.000000,872.349976,886.650024,864.063171,1149278
2015-04-22,891.000000,921.549988,874.049988,898.049988,875.172852,1799052
2015-04-23,906.000000,911.000000,888.549988,892.650024,869.910400,815845
2015-04-24,893.000000,909.700012,885.000000,896.400024,873.564819,1259860
2015-04-27,900.099976,905.900024,862.000000,868.950012,846.814087,854103
2015-04-28,866.000000,873.599976,816.000000,861.000000,839.066589,1536548
2015-04-29,843.349976,864.000000,842.400024,860.250000,838.335693,546051
2015-04-30,858.500000,894.000000,842.500000,890.299988,867.620178,1091326
2015-05-04,905.000000,929.500000,888.549988,906.599976,883.504944,1397412
2015-05-05,908.950012,916.849976,890.150024,897.500000,874.636841,886831
2015-05-06,891.950012,895.000000,842.700012,847.900024,826.300415,1280955
2015-05-07,852.900024,852.900024,807.000000,825.900024,804.860840,1350783
2015-05-08,830.799988,854.000000,830.799988,835.799988,814.508545,976949
2015-05-11,848.000000,873.400024,842.400024,868.500000,846.375549,635186
2015-05-12,873.000000,877.500000,848.900024,869.099976,846.960205,657657
2015-05-13,876.000000,902.000000,869.549988,889.000000,866.353394,1168699
2015-05-14,904.950012,915.950012,885.200012,913.650024,890.375366,931276
2015-05-15,916.400024,918.950012,881.000000,898.200012,875.318909,1074308
2015-05-18,906.000000,910.000000,890.200012,906.700012,883.602417,576971
2015-05-19,904.900024,914.000000,895.500000,899.599976,876.683289,465409
2015-05-20,922.000000,929.000000,904.000000,907.000000,883.894775,1543838
2015-05-21,909.700012,913.549988,890.549988,895.950012,873.126282,705667
2015-05-22,902.599976,905.450012,875.549988,885.349976,862.796265,720630
2015-05-25,886.700012,887.700012,870.000000,872.049988,849.835083,257227
2015-05-26,875.000000,876.750000,858.150024,865.950012,843.890503,328553
2015-05-27,861.700012,865.799988,852.000000,862.099976,840.138550,698585
2015-05-28,865.000000,868.750000,850.500000,857.450012,835.607056,647929
2015-05-29,867.099976,880.599976,857.000000,875.299988,853.002258,808744
2015-06-01,852.200012,870.599976,819.000000,866.049988,843.987915,1463108
2015-06-02,873.150024,884.900024,853.049988,861.200012,839.261475,1172117
2015-06-03,870.000000,870.000000,829.500000,853.799988,832.050049,624491
2015-06-04,855.000000,859.000000,821.200012,834.599976,813.339111,748417
2015-06-05,835.000000,859.349976,831.450012,845.150024,823.620422,922907
2015-06-08,849.599976,861.250000,831.750000,855.700012,833.901611,605530
2015-06-09,853.000000,857.000000,837.200012,849.000000,827.372253,517080
2015-06-10,849.049988,868.000000,849.049988,857.299988,835.460815,394746
2015-06-11,864.900024,872.700012,860.349976,866.099976,844.036560,923236
2015-06-12,874.000000,881.000000,852.099976,879.599976,857.192688,666089
2015-06-15,890.000000,895.000000,880.500000,889.400024,866.743103,760269
